Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación K:Mg (1:0.5) (K2O/1.17)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,105.0,15,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,106.0,16,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,107.0,16,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,108.0,16,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,109.0,16,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,110.0,16,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,111.0,16,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,112.0,16,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,113.0,17,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,114.0,17,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,115.0,17,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,116.0,17,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,117.0,17,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,118.0,17,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,119.0,17,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,120.0,18,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,121.0,18,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,122.0,18,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,123.0,18,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,124.0,18,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,125.0,18,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,126.0,18,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,127.0,19,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,128.0,19,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,129.0,19,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,130.0,19,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,131.0,19,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,132.0,19,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,133.0,19,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,134.0,20,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,135.0,20,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,136.0,20,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,137.0,20,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,138.0,20,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,139.0,20,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,140.0,20,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,141.0,21,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,142.0,21,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,143.0,21,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
