Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Mayo - Oct a Dic 122 dias de crecimiento y maduracion,Mayo - Oct a Dic 122 dias de crecimiento y maduracion,25,vivero sep a mayo,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22
,18.0,3,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,19.0,3,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,20.0,3,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,21.0,3,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,22.0,4,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,23.0,4,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,24.0,4,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,25.0,4,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,26.0,4,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,27.0,4,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,28.0,4,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,29.0,5,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,30.0,5,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,31.0,5,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,32.0,5,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,12.2222,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,33.0,5,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,34.0,5,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,35.0,5,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,36.0,6,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,37.0,6,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,38.0,6,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
,39.0,6,2,0.45,1.494455111111111,0.25577733221186455,0.8896894779324445,17.3149,4.5,0.39999999999999997,0.5,,,,,,,,,,,
