Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12,Columna_13,Kilos/Ha,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25
,102.0,15,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,103.0,15,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,104.0,15,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,,,,,,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,105.0,15,5.722222222222222,0.5555555555555556,11,1.8826598627232547,6.548597000000001,35.6483,1.749191777777778,0.4,0.5,,193,15,177,15,14,,,,5.722222222222222,0.5555555555555556,11,0.8888888888888888,0.9444444444444444
,106.0,16,0,0,0,0,0,35.6483,,,,,381,23,316,39,35,,,,,,,,
,107.0,16,0,0,0,0,0,35.6483,,,,,383,29,523,38,37,,,,,,,,
,108.0,16,0,0,0,0,0,35.6483,,,,,,,,,,,,,,,,,
,109.0,16,0,0,0,0,0,35.6483,,,,,,,,,,,,,,,,,
,110.0,16,0,0,0,0,0,35.6483,,,,,,,,,,,,,,,,,
,111.0,16,0,0,0,0,0,35.6483,,,,,,,,,,,,,,,,,
,112.0,16,0,0,0,0,0,35.6483,,,,,,,,,,,,,,,,,
