Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
16,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
17,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
18,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
,2.0,5.970149253731343,0.35,0.673076923076923,2.169370322580645,3.2342069478908186,0.37128967579141636,2.3205604736963523,1.2914847260309679,0.00012914847260309678,35.6483,173.89414634146343,,,,,,,,,
