Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
32,218,39666,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
33,225,39673,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
34,232,39680,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
35,239,39687,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
36,246,39694,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
37,253,39701,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
38,260,39708,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
39,267,39715,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
40,274,39722,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
41,281,39729,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
42,288,39736,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
43,295,39743,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
44,302,39750,,0.8728347541777537,,1.5363556904347826,,2.9918084265669593,,1.7281710945986397,,3.562208670325656,,0.0356839483,,20.019999999999996,,126.33226374053909
45,309,39757,,1.7906903017103293,,1.0473071304347825,,4.145808333333333,,2.3947609953201923,,4.9362232753166655,,0.0356839483,,20.019999999999996,,150.3847593203991
46,316,39764,,1.7906903017103293,,1.0473071304347825,,4.145808333333333,,2.3947609953201923,,4.9362232753166655,,0.0356839483,,20.019999999999996,,150.3847593203991
47,323,39771,,1.7906903017103293,,1.0473071304347825,,4.145808333333333,,2.3947609953201923,,4.9362232753166655,,0.0356839483,,20.019999999999996,,150.3847593203991
48,330,39778,,1.7906903017103293,,1.0473071304347825,,4.145808333333333,,2.3947609953201923,,4.9362232753166655,,0.0356839483,,20.019999999999996,,150.3847593203991
49,337,39785,,1.7906903017103293,,1.0473071304347825,,4.145808333333333,,2.3947609953201923,,4.9362232753166655,,0.0356839483,,20.019999999999996,,150.3847593203991
50,344,39792,,1.7906903017103293,,1.0473071304347825,,4.145808333333333,,2.3947609953201923,,4.9362232753166655,,0.0356839483,,,,94.3287593203991
51,351,39799,,1.7906903017103293,,1.0473071304347825,,4.145808333333333,,2.3947609953201923,,4.9362232753166655,,0.0356839483,,20.019999999999996,,150.3847593203991
52,358,39806,,1.7906903017103293,,1.0473071304347825,,4.145808333333333,,2.3947609953201923,,4.9362232753166655,,0.0356839483,,,,94.3287593203991
